symbol,asset_class,spot,fwd_29d,fwd_57d,atm_iv_29d,atm_iv_57d,iv_bid_29d,iv_ask_29d,exec_cost_volpts,horizontal_skew_volpts,forward_vol_29_57,forward_factor,rr25_volpts,bf25_volpts,har_rv,blend_rv,longrun_rv,vrp_median,vrp_min,vrp_max,sleeve,beta_vs_spy
SPY,us large cap,763.2000,763.8013,765.1962,0.131823,0.136787,0.130352,0.130995,0.064,-0.496,0.141745,-0.0700,-4.056,0.465,0.117510,0.131239,0.128693,1.0243,0.9932,1.1218,no edge,1.0000
QQQ,us tech,711.0600,712.6782,714.0795,0.201447,0.209831,0.202985,0.204871,0.189,-0.838,0.218175,-0.0767,-5.169,0.550,0.204005,0.213045,0.196373,0.9875,0.9456,1.0433,no edge,1.4110
IWM,us small cap,297.6900,297.7492,298.4125,0.179558,0.186719,0.178021,0.180718,0.270,-0.716,0.193857,-0.0738,-4.139,0.439,0.160363,0.173305,0.191262,1.0361,0.9308,1.1269,no edge,1.2161
GLD,precious metals,414.2400,416.1034,417.4648,0.255591,0.251276,0.251561,0.258010,0.645,0.431,0.246727,0.0359,1.567,0.478,0.276706,0.272410,0.290922,0.9237,0.8647,0.9471,BUY VOL,0.7037
SLV,precious metals,61.6500,61.7743,61.8742,0.457221,0.461246,0.446926,0.464988,1.806,-0.402,0.465377,-0.0175,4.368,1.520,0.460198,0.531859,0.650994,0.8597,0.6865,1.0104,no edge,1.7423
ARKK,us growth/innovation,83.1700,83.1806,83.0000,0.349738,0.350103,0.324231,0.375836,5.161,-0.036,0.350481,-0.0021,-1.695,0.354,0.430882,0.391375,0.373254,0.8936,0.7525,1.0069,no edge,2.2493
SMH,semiconductors,562.8200,564.0220,565.7042,0.375664,0.388377,0.362354,0.388070,2.572,-1.271,0.401119,-0.0635,-3.705,0.570,0.432699,0.418920,0.391820,0.8967,0.8374,0.9904,BUY VOL,2.3594
KWEB,china internet,26.6700,26.7593,,0.280283,,0.256941,0.303739,4.680,,,,0.020,0.742,0.254383,0.271377,0.281334,1.0328,0.9133,1.1940,no edge,1.0955
FXI,china large cap,35.6600,35.7743,35.9849,0.189313,0.203675,0.158768,0.217624,5.886,-1.436,0.217552,-0.1298,-1.512,0.697,0.163365,0.182219,0.202106,1.0389,0.7856,1.3321,no edge,0.7669
EWZ,latam equity,34.0200,34.2608,34.3722,0.257713,0.351687,0.254741,0.262630,0.789,-9.397,0.427781,-0.3976,-0.732,0.471,0.205945,0.240388,0.256018,1.0721,0.9950,1.2752,no edge,0.9821
