symbol,structure,detail,front_dte,net_cost_usd,max_loss_usd,delta,gamma,vega,theta,ev_hold_all,ev_hold_calm,ev_managed,managed_win,cvar5_hold,n_windows,n_distinct_episodes,widest_spread_pct,min_oi,exec_cost_usd,gates_failed,gates_marginal,expected_monthly_per_lot_calm
SPY,double calendar,"sell 2026-09-18 735P/765C, buy 2026-10-16 735P/765C",29,978.17,1150.71,-3.373,-0.58569,70.880,8.275,-94.22,-36.30,-173.82,0.4683,-1060.62,472,16,0.0095,5183,12.55,4,3,-36.30
SPY,ATM call calendar,"sell 2026-09-18 765C, buy 2026-10-16 765C",29,596.10,651.41,2.171,-0.45546,34.247,4.253,-40.25,24.64,-125.75,0.4208,-595.73,472,16,0.0057,5183,6.80,4,3,24.64
SPY,put credit spread T1,2026-09-18: short 735P / long 715P,29,-185.95,1814.05,9.100,-0.32891,-19.856,3.705,-48.58,8.38,-42.16,0.6463,-1807.93,472,16,0.0095,31949,4.70,2,2,8.38
SPY,call credit spread T1,2026-09-18: short 790C / long 805C,29,-122.62,1377.38,-9.892,-0.58522,-29.692,5.833,-60.88,24.55,-41.80,0.6392,-1372.78,472,16,0.0645,5945,4.35,2,2,24.55
SPY,iron condor T1,2026-09-18: 715/735P + 790/805C,29,-308.57,1691.43,-0.792,-0.91413,-49.548,9.538,-109.46,32.94,-133.38,0.4557,-1685.30,472,16,0.0645,5945,9.05,2,2,32.94
SPY,put credit spread T2,2026-10-16: short 720P / long 715P,57,-53.60,446.40,1.826,-0.04432,-5.061,0.372,-22.45,-18.02,-30.09,0.6447,-443.40,444,7,0.0076,4776,5.40,2,1,-15.22
SPY,call credit spread T2,2026-10-16: short 800C / long 810C,57,-141.95,858.05,-6.582,-0.19608,-21.871,2.571,0.68,59.31,-11.35,0.7612,-852.04,444,7,0.0185,7269,4.70,1,1,50.11
SPY,iron condor T2,2026-10-16: 715/720P + 800/810C,57,-195.55,804.45,-4.756,-0.24040,-26.931,2.943,-21.78,41.29,-80.59,0.6070,-798.44,444,7,0.0185,4776,10.10,2,1,34.89
QQQ,double calendar,"sell 2026-09-18 710P/750C, buy 2026-10-16 710P/750C",29,1251.15,1439.20,11.978,-0.37266,76.419,5.678,-279.48,-46.96,-118.62,0.5827,-1317.52,222,7,0.0290,1800,25.50,4,3,-46.96
QQQ,ATM call calendar,"sell 2026-09-18 710C, buy 2026-10-16 710C",29,824.35,824.35,0.580,-0.30739,31.680,7.620,-80.04,-9.80,-80.44,0.5365,-743.17,222,7,0.0102,1621,17.30,4,3,-9.80
IWM,double calendar,"sell 2026-09-18 285P/298C, buy 2026-10-16 285P/298C",29,519.57,585.41,-3.420,-1.17035,27.523,4.429,-17.78,-44.34,-42.64,0.5580,-475.21,222,7,0.0211,992,15.35,4,3,-44.34
IWM,ATM call calendar,"sell 2026-09-18 298C, buy 2026-10-16 298C",29,312.80,340.53,1.834,-0.84326,13.312,2.178,-7.99,-29.94,-49.74,0.4763,-305.34,222,7,0.0153,992,8.20,4,3,-29.94
IWM,put credit spread T1,2026-09-18: short 285P / long 275P,29,-121.25,878.75,11.025,-0.71860,-8.959,2.564,-6.73,-22.16,-15.18,0.6182,-875.69,222,7,0.0441,38109,6.10,2,2,-22.16
IWM,call credit spread T1,2026-09-18: short 310C / long 320C,29,-103.60,896.40,-13.712,-1.25226,-14.011,3.896,-2.24,5.01,-9.80,0.7037,-893.34,222,7,0.0800,17190,5.40,3,2,5.01
IWM,iron condor T1,2026-09-18: 275/285P + 310/320C,29,-224.85,775.15,-2.687,-1.97086,-22.969,6.460,-8.97,-17.16,-41.28,0.5432,-772.09,222,7,0.0800,17190,11.50,3,2,-17.16
GLD,double calendar,"sell 2026-09-18 415P/445C, buy 2026-10-16 415P/445C",29,787.63,937.23,9.877,-0.46515,41.355,8.200,-149.66,-93.07,-49.60,0.6408,-909.24,222,7,0.0571,1414,45.45,2,2,-93.07
GLD,ATM call calendar,"sell 2026-09-18 415C, buy 2026-10-16 415C",29,534.00,534.00,1.463,-0.37767,18.506,6.542,-162.62,-155.42,-66.00,0.5253,-505.24,222,7,0.0282,5614,30.60,2,2,-155.42
GLD,call credit spread T1,2026-09-18: short 445C / long 460C,29,-162.70,1337.30,-8.798,-0.30458,-10.330,4.995,-110.66,-156.84,-45.83,0.5637,-1332.71,222,7,0.0884,16966,15.20,4,1,-156.84
GLD,put credit spread T2,2026-10-16: short 385P / long 370P,57,-216.40,1283.60,8.360,-0.23001,-14.294,2.417,-281.80,-77.53,-74.13,0.7017,-1274.59,194,3,0.0526,2592,13.80,3,0,-65.51
SLV,double calendar,"sell 2026-09-18 54P/62C, buy 2026-10-16 54P/62C",29,213.25,226.68,-4.507,-1.68356,5.720,1.923,-53.17,-63.16,-55.16,0.4160,-211.18,222,7,0.0702,2200,15.70,4,3,-63.16
SLV,ATM call calendar,"sell 2026-09-18 62C, buy 2026-10-16 62C",29,138.50,138.50,1.676,-1.48939,2.744,1.594,-47.62,-54.07,-35.56,0.4127,-136.75,222,7,0.0328,2585,9.60,3,3,-54.07
SLV,call credit spread T1,2026-09-18: short 70C / long 78C,29,-56.93,743.08,-11.992,-1.65876,-2.170,1.603,-85.30,-98.58,-33.72,0.5268,-740.63,222,7,0.1235,10541,5.75,3,2,-98.58
SLV,put credit spread T2,2026-10-16: short 54P / long 50P,57,-66.58,333.43,9.094,-0.91584,-2.304,0.816,-127.89,-4.40,-29.15,0.6947,-331.02,194,3,0.0813,3819,6.45,3,1,-3.71
ARKK,double calendar,"sell 2026-09-18 83P/91C, buy 2026-10-16 83P/91C",29,291.05,336.57,9.939,-1.97853,8.482,1.756,-71.45,-89.13,-99.54,0.3760,-270.37,222,7,0.3210,9,63.30,6,3,-89.13
ARKK,ATM call calendar,"sell 2026-09-18 83C, buy 2026-10-16 83C",29,151.50,199.39,-0.356,-1.40413,3.674,1.848,-43.43,-64.34,-68.45,0.3765,-153.51,222,7,0.2857,829,65.60,4,3,-64.34
SMH,double calendar,"sell 2026-09-18 505P/565C, buy 2026-10-16 505P/565C",29,1968.00,2108.45,-4.335,-0.25844,52.830,14.389,-370.50,-111.35,-408.76,0.4717,-1886.50,222,7,0.1435,115,201.20,5,2,-111.35
SMH,ATM call calendar,"sell 2026-09-18 565C, buy 2026-10-16 565C",29,1204.25,1204.25,1.926,-0.20971,25.141,10.548,-270.86,-27.59,-223.32,0.4777,-1176.42,222,7,0.0688,327,111.10,4,2,-27.59
FXI,double calendar,"sell 2026-09-18 34P/36C, buy 2026-10-16 34P/36C",29,88.95,103.30,-0.805,-9.80514,3.400,0.368,-40.27,-38.79,-47.52,0.1315,-93.12,222,7,0.3478,809,31.10,5,3,-38.79
FXI,ATM call calendar,"sell 2026-09-18 36C, buy 2026-10-16 36C",29,57.75,57.75,5.212,-7.05443,1.642,0.192,-25.26,-23.09,-32.04,0.1868,-57.08,222,7,0.3077,809,20.10,5,3,-23.09
EWZ,double calendar,"sell 2026-09-18 34P/36C, buy 2026-10-16 34P/36C",29,171.77,187.02,13.939,-12.56606,3.607,-0.265,-66.27,-47.32,-56.66,0.2997,-180.40,222,7,0.0347,4685,9.75,4,3,-47.32
EWZ,ATM call calendar,"sell 2026-09-18 34C, buy 2026-10-16 34C",29,96.05,96.05,0.417,-6.67119,1.523,0.302,-30.73,-19.92,-26.60,0.2785,-89.97,222,7,0.0267,3843,4.70,4,3,-19.92
EWZ,put credit spread T1,2026-09-18: short 32P / long 30P,29,-18.30,181.70,12.264,-6.13271,-1.431,0.524,-9.68,-9.30,-5.21,0.6383,-181.09,222,7,0.2857,28908,4.00,3,2,-9.30
EWZ,call credit spread T1,2026-09-18: short 36C / long 38C,29,-25.98,174.03,-16.679,-6.70089,-1.514,0.785,-13.74,-6.17,-5.11,0.6098,-173.41,222,7,0.1818,36445,3.65,3,2,-6.17
EWZ,iron condor T1,2026-09-18: 30/32P + 36/38C,29,-44.28,155.73,-4.415,-12.83360,-2.945,1.308,-23.41,-15.47,-11.42,0.5335,-155.11,222,7,0.2857,28908,7.65,3,2,-15.47
EWZ,put credit spread T2,2026-10-16: short 32P / long 29P,57,-61.27,238.73,17.270,-3.29720,-2.022,0.491,-2.51,12.38,-4.25,0.6952,-236.92,194,3,0.1053,4415,5.05,3,1,10.46
